Date,Flow_chavuma,Level_kariba,Flow_nana,Flow_ngonye
2017-01-01,0.3052687544259176,0.18053097345131874,0.06568832983927322,0.07622298065984073
2017-01-02,0.31385849575620606,0.17964601769911326,0.06662007919869556,0.07303754266211604
2017-01-03,0.3250996016089982,0.18141592920353133,0.06894945259725133,0.07372013651877134
2017-01-04,0.34223598196896265,0.17964601769911326,0.07314232471465176,0.07372013651877134
2017-01-05,0.3588656892206319,0.17876106194690067,0.0747728860936408,0.07554038680318544
2017-01-06,0.3811063063959712,0.17787610619468808,0.0747728860936408,0.07758816837315131
2017-01-07,0.4045010033723315,0.17876106194690067,0.07523876077335198,0.08100113765642776
2017-01-08,0.4211867013026218,0.17964601769911326,0.07430701141392965,0.08168373151308304
2017-01-09,0.4290367525189305,0.18230088495575103,0.0747728860936408,0.08577929465301479
2017-01-10,0.43429699870252403,0.18318584070796362,0.0780340088516189,0.08600682593856655
2017-01-11,0.4371608786091985,0.1858407079645943,0.07733519683205217,0.09055745164960181
2017-01-12,0.4371608786091985,0.18672566371680688,0.07896575821104124,0.09215017064846417
2017-01-13,0.4416597688829187,0.18849557522123916,0.08245981830887492,0.09146757679180886
2017-01-14,0.43829508827525876,0.1946902654867202,0.08409037968786395,0.09032992036405006
2017-01-15,0.4365913616970507,0.2044247787610587,0.08898206382483112,0.09351535836177474
2017-01-16,0.4365913616970507,0.20707964601769646,0.09131143722338692,0.09533560864618884
2017-01-17,0.43429699870252403,0.2132743362831775,0.10086186815746565,0.09852104664391353
2017-01-18,0.43313990860076834,0.2212389380530979,0.10295830421616586,0.1087599544937429
2017-01-19,0.4337192872912019,0.2309734513274293,0.10435592825529932,0.11695108077360636
2017-01-20,0.43544745787904593,0.23628318584070485,0.107849988353133,0.12036405005688283
2017-01-21,0.44606004535823995,0.24424778761061816,0.11437223386908923,0.12696245733788394
2017-01-22,0.4492980926031429,0.24867256637168111,0.12345679012345681,0.13174061433447098
2017-01-23,0.46175198125966,0.2513274336283118,0.15653389238294899,0.1353811149032992
2017-01-24,0.47347820910245386,0.25309734513273696,0.17447006755182856,0.13629124004550625
2017-01-25,0.48545336188816934,0.25575221238937473,0.18681574656417424,0.13947667804323094
2017-01-26,0.4942022224000169,0.2592920353982251,0.19007686932215234,0.14493742889647326
2017-01-27,0.4967542217260259,0.26194690265486287,0.19240624272070814,0.1485779294653015
2017-01-28,0.4967542217260259,0.26548672566371323,0.19706498951781973,0.1515358361774744
2017-01-29,0.4954822771739993,0.2699115044247691,0.19962730025623107,0.1551763367463026
2017-01-30,0.4942022224000169,0.2761061946902643,0.20009317493594225,0.1558589306029579
2017-01-31,0.49377371727063846,0.2796460176991076,0.20079198695550898,0.15881683731513083
2017-02-01,0.4911832996923078,0.28318584070795794,0.20032611227579783,0.16814562002275313
2017-02-02,0.4836568883619612,0.2876106194690209,0.20778010715117634,0.17178612059158133
2017-02-03,0.4836568883619612,0.29115044247787125,0.20894479385045425,0.17792946530147896
2017-02-04,0.4836568883619612,0.2955752212389342,0.21127416724901002,0.18543799772468714
2017-02-05,0.48275258693697287,0.30088495575220975,0.21290472862799908,0.1924914675767918
2017-02-06,0.48545336188816934,0.3035398230088404,0.21430235266713255,0.19977246871444823
2017-02-07,0.4898754476602958,0.30884955752211596,0.21709760074539952,0.19840728100113766
2017-02-08,0.5034050851002398,0.3123893805309663,0.21989284882366644,0.19977246871444823
2017-02-09,0.516080194329448,0.3141592920353915,0.22431865828092246,0.20136518771331058
2017-02-10,0.522501866588962,0.31858407079645445,0.22664803167947822,0.20386803185437996
2017-02-11,0.5319423382500994,0.3256637168141552,0.22897740507803405,0.20455062571103527
2017-02-12,0.5399388157262093,0.32654867256636777,0.23060796645702308,0.20386803185437996
2017-02-13,0.5540846277358127,0.32743362831858036,0.2294432797577452,0.20659840728100112
2017-02-14,0.5630913705508898,0.32831858407079295,0.22897740507803405,0.2054607508532423
2017-02-15,0.5751726934943593,0.33008849557521813,0.22874446773817841,0.2050056882821388
2017-02-16,0.5841214541484709,0.3318584070796433,0.23386908921500116,0.2118316268486917
2017-02-17,0.5900502080885863,0.3327433628318559,0.22874446773817841,0.21342434584755404
2017-02-18,0.5960667564471127,0.3345132743362811,0.23014209177731193,0.2184300341296928
2017-02-19,0.6021583866931388,0.33893805309734404,0.23060796645702308,0.2184300341296928
2017-02-20,0.6085555198564983,0.3415929203539747,0.22874446773817841,0.21979522184300343
2017-02-21,0.618015671786976,0.343362831858407,0.23060796645702308,0.22025028441410693
2017-02-22,0.6301183841395555,0.34513274336282507,0.24854414162590266,0.22457337883959044
2017-02-23,0.6346347461328989,0.3522123893805258,0.24225483344980203,0.22502844141069395
2017-02-24,0.6472053260830133,0.35752212389380134,0.24528301886792453,0.22753128555176338
2017-02-25,0.6610959079919785,0.3610619469026517,0.2471465175867692,0.2316268486916951
2017-02-26,0.6751328578820186,0.36548672566371465,0.25623107384113675,0.23640500568828215
2017-02-27,0.6926007900545763,0.37610619469026574,0.2508735150244584,0.24004550625711035
2017-02-28,0.6988748812026184,0.38230088495574677,0.26950850221290473,0.2430034129692833
2017-03-01,0.7013306253032467,0.3884955752212349,0.26298625669694853,0.24436860068259386
2017-03-02,0.7189891533098245,0.39469026548672304,0.26624737945492666,0.2534698521046644
2017-03-03,0.7303941023657465,0.40088495575221117,0.26834381551362685,0.2602957906712173
2017-03-04,0.7363755749660068,0.4070796460176922,0.27044025157232704,0.26484641638225254
2017-03-05,0.739931093678577,0.41238938053096774,0.286512928022362,0.2657565415244596
