;;;;;;;;;;;;
;NANA'S FARM FLOWS 1994/95 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
2;218;187;215;377;711;1375;2768;3147;2174;1020;497;365
3;215;190;218;392;719;1475;2855;3137;2134;985;492;361
4;212;191;220;405;720;1599;2940;3134;2095;950;491;359
5;210;191;225;424;725;1708;3034;3125;2040;916;487;357
6;210;191;234;430;732;1844;3115;3124;2000;884;484;355
7;208;191;238;443;741;1982;3186;3119;1969;857;478;349
8;205;191;242;447;749;2081;3250;3110;1929;827;470;346
9;203;191;245;451;758;2156;3306;3099;1891;800;465;343
10;203;191;247;453;764;2195;3337;3085;1850;776;457;340
11;207;187;249;453;772;2227;3362;3029;1810;749;453;335
12;203;187;249;458;786;2256;3402;3006;1770;732;453;329
13;208;187;252;474;797;2296;3424;2974;1733;714;452;324
14;210;187;254;481;811;2315;3441;2926;1700;690;441;319
15;207;187;255;491;817;2319;3453;2891;1666;674;437;318
16;196;189;260;502;829;2333;3436;2847;1612;660;434;318
17;194;220;265;517;845;2350;3399;2787;1568;645;429;316
18;196;211;276;527;876;2348;3362;2748;1527;630;425;313
19;196;198;272;534;891;2357;3349;2713;1494;620;418;307
20;193;196;270;547;910;2365;3329;2684;1457;606;411;298
21;191;193;280;554;932;2370;3313;2646;1417;596;407;298
22;189;187;293;564;961;2377;3306;2610;1383;584;404;296
23;191;191;298;579;986;2380;3288;2567;1349;581;401;293
24;187;192;302;588;1016;2381;3271;2529;1310;564;396;289
25;183;196;302;596;1059;2392;3259;2495;1272;558;390;286
26;183;201;309;602;1110;2420;3250;2451;1234;548;383;285
27;184;207;320;626;1160;2441;3230;2412;1199;545;377;281
28;181;213;327;653;1223;2479;3213;2376;1159;557;376;280
29;181;212;338;678;;2511;3180;2339;1121;530;375;277
30;186;211;344;689;;2563;3149;2290;1086;519;375;275
31;190;;349;695;;2621;;2253;;508;371;
;;;;;;;;;;;;
;;;;;;;;;;;;
;NANA'S FARM FLOWS 1998/99 SEASON;;;;;;;;;;;
;Mean Daily Flows (m3/s);;;;;;;;;;;
;;;;;;;;;;;;
DAY;Oct; Nov;Dec ; Jan;Feb;Mar;Apr ;May;Jun;Jul;Aug;Sep
1;275;213;243;419;680;1086;2530;3100;2417;1109;501;355
2;273;208;246;422;682;1120;2478;3148;2368;1072;495;351
3;265;207;245;430;698;1157;2493;3209;2325;1036;488;343
