Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
28,,59.5698466866059,75.1936776490121,218.34875654845823,584.249938069335,1959.4860894825918,2990.0549203556598,1344.12598329988,520.269740970597,261.4894655544143,160.47690784082334,100.92008995129144,71.5334471530363,year,1-105 Zambezi At Chavuma Mission (130400)
29,,59.98794684086946,74.50126122435852,230.3248372527132,584.249938069335,2344.1182799047956,2915.525588836729,1278.9636776003874,504.6532282744269,256.70396898638364,157.58203239431245,100.39414262463717,69.73355587633175,year,1-105 Zambezi At Chavuma Mission (130400)
30,,60.19747972654572,75.6568551753039,228.81243859154196,598.0130547736463,,2833.8155605863117,1231.0301078504292,489.77445048451204,251.56366041363023,155.34652265298143,98.30246761132099,70.85612104790349,year,1-105 Zambezi At Chavuma Mission (130400)
31,,62.310479841099884,,227.68102019549676,614.2481215091166,,2836.1032427999066,,473.53069377853296,,154.07540804667485,96.23021207129278,,year,1-105 Zambezi At Chavuma Mission (130400)
1,,70.85612104790349,58.945112513383386,89.88012605566769,223.9274777691876,853.2510962597286,852.5771376161308,764.3971904586244,620.0927314233729,328.0940482218034,194.19106236990902,122.94236473428387,80.595647178137,year,1-105 Zambezi At Chavuma Mission (130400)
2,,68.61889333147248,58.945112513383386,93.92219844021487,234.1250165896962,851.9034135205924,847.8659956951476,809.2739514055152,602.6320980842622,322.80306018884966,192.08869512578846,120.65433056000941,78.93410833629937,year,1-105 Zambezi At Chavuma Mission (130400)
3,,67.51214860643798,58.5302353450752,97.78258123396414,246.85944950632657,849.2108630612497,833.1344554178694,844.5079349712219,586.533987252186,314.93770170074555,188.26055797112835,118.95073916523809,78.46218451681669,year,1-105 Zambezi At Chavuma Mission (130400)
4,,67.0716711411156,58.5302353450752,103.56796036783037,261.4894655544143,844.5079349712219,821.8289469781179,916.9514391495071,583.1093854967327,309.31036871321004,183.78020955928736,116.69589733527144,76.58696588766318,year,1-105 Zambezi At Chavuma Mission (130400)
5,,65.32247423101118,59.153034917016775,108.68191498600962,276.89966511770865,841.8257129122112,811.2506589086793,932.3151154844572,571.1928945296166,303.3001909747582,183.0951460930592,115.01724969390118,75.42510983107277,year,1-105 Zambezi At Chavuma Mission (130400)
6,,64.02395326283634,59.569846686605906,124.67080142016891,294.3824599309495,848.5383120377746,798.1127487714684,964.0904119096313,552.6862862015292,297.3420117191949,179.34745550135426,113.07237875505604,75.42510983107277,year,1-105 Zambezi At Chavuma Mission (130400)
7,,63.164657714347534,60.617510446350074,124.38199077602265,309.31036871321004,844.5079349712219,790.275379887238,1001.3913442771401,533.9002010033948,290.1771633559486,176.30657931654554,112.24333701988219,74.04121819524732,year,1-105 Zambezi At Chavuma Mission (130400)
8,,64.02395326283634,62.3104798410999,126.11927733462832,332.5321187555451,844.5079349712219,781.1748613090314,1034.1732807443364,518.644524671337,285.9985368246671,174.62710634428933,110.59332000052099,71.98657381761967,year,1-105 Zambezi At Chavuma Mission (130400)
9,,61.24996690072696,65.75786451662806,127.86716766510335,351.0021034413144,846.5220671411447,777.2888556840915,1051.107848127959,500.91515543196704,283.9192392296344,171.62191103835912,108.68191498600962,71.30735648015806,year,1-105 Zambezi At Chavuma Mission (130400)
10,,61.03882687625313,69.73355587633175,127.57511697665635,384.0217680461252,853.2510962597285,761.1891180025596,1053.3256316971765,488.19193474406507,278.1327880430057,168.3097805635326,107.5962776247643,69.9574371837721,year,1-105 Zambezi At Chavuma Mission (130400)
11,,61.03882687625313,70.18163447500564,130.21415284190243,415.39152200602706,870.17622606293,756.7078022874035,1044.466852970727,468.34229875938985,271.58404101729025,166.0082183896562,105.70797260690625,69.06380906557546,year,1-105 Zambezi At Chavuma Mission (130400)
12,,60.617510446350074,69.73355587633175,132.2831713181024,442.77885652426556,887.2475922045148,747.1442480847082,1038.579313719441,462.1494795976669,268.74059214012516,163.72062402693197,104.63555705623754,67.9538953787699,year,1-105 Zambezi At Chavuma Mission (130400)
13,,59.98794684086946,69.06380906557546,144.68904127612305,462.6641609612576,916.2557625384637,729.4357808469989,1030.5078897356266,450.3815134171259,264.7014042830165,162.7445080254278,103.56796036783037,67.51214860643798,year,1-105 Zambezi At Chavuma Mission (130400)
14,,59.778735782874875,69.06380906557546,143.14994819670483,490.30245691114317,932.3151154844574,714.4061794547445,1018.0884555521259,442.27404024315507,258.2948087535007,159.5093709824102,101.44724719567844,66.6324639735314,year,1-105 Zambezi At Chavuma Mission (130400)
15,,59.569846686605906,70.63097652716672,142.8429996903449,518.644524671337,946.3795659121619,706.3227337624836,1000.6681422970255,432.23102379159263,254.32582908727423,158.2233320004121,100.13162291591192,65.32247423101118,year,1-105 Zambezi At Chavuma Mission (130400)
16,,58.945112513383386,70.18163447500564,143.14994819670483,522.4401786852368,959.1167997174877,692.1205934320616,979.0791748508875,422.28973939038207,249.59882013051836,155.98380416536585,99.34588074233599,63.80865004535395,year,1-105 Zambezi At Chavuma Mission (130400)
17,,62.09773598193063,70.63097652716672,149.97608920662117,528.4293899024171,967.6499265532161,685.9854059729108,956.988720415134,413.9198453972361,245.68951084192162,153.44157607881453,97.78258123396414,63.379002142424895,year,1-105 Zambezi At Chavuma Mission (130400)
18,,63.379002142424895,74.73175323056441,149.97608920662117,538.2947077300247,982.6629312043542,688.4365939222816,932.3151154844572,402.7135014785757,241.4206936667438,150.91776365376177,96.74645269241493,63.164657714347534,year,1-105 Zambezi At Chavuma Mission (130400)
19,,63.164657714347534,76.35396903729183,149.34974876606253,553.2431461003188,983.3803743899747,685.9854059729108,916.9514391495071,398.36531930904215,237.56857330171573,147.4776579016922,95.4581328824546,61.673209907910376,year,1-105 Zambezi At Chavuma Mission (130400)
20,,61.673209907910376,77.05389725134314,148.10053253528312,574.0203236050116,972.6429499628671,679.8742890767553,889.3059671135851,393.5584043750761,233.74376652662113,146.85593969647738,93.15834849043893,60.197479726545716,year,1-105 Zambezi At Chavuma Mission (130400)
21,,61.03882687625313,78.46218451681669,148.10053253528312,588.8219602980043,972.6429499628671,671.9658648659127,860.003577985059,384.4961519505221,228.05788521005294,142.8429996903449,93.15834849043893,59.778735782874875,year,1-105 Zambezi At Chavuma Mission (130400)
22,,63.80865004535395,79.17053750572872,153.12509167580842,610.1714047191558,959.1167997174877,661.6856194279256,831.1344234722017,379.2921219597713,226.55207250610192,141.31261178951527,91.8913741408482,58.945112513383386,year,1-105 Zambezi At Chavuma Mission (130400)
23,,62.736928550610415,79.17053750572872,159.18743143867363,644.3100429830004,939.3357479751251,655.0709162143987,802.7002705141725,373.1822068047457,220.9444460836623,138.27363906885736,89.88012605566769,58.73751261085245,year,1-105 Zambezi At Chavuma Mission (130400)
24,,62.95063314060062,80.83425353734718,158.544411878551,677.4365878246873,930.9137730633189,653.2719874453358,777.935930557867,366.18666273837147,216.1346390249979,136.46423475078623,89.38037886023213,57.293354759896914,year,1-105 Zambezi At Chavuma Mission (130400)
25,,63.80865004535395,80.83425353734718,164.04656717555002,711.914651064247,920.4333096123781,653.2719874453358,752.8759525850211,360.63224497151475,215.39880910280087,134.96442146086034,88.13638322446145,56.47523778661784,year,1-105 Zambezi At Chavuma Mission (130400)
26,,63.80865004535395,82.99567414551574,163.06959438405372,727.5495467624631,903.0821141262877,647.8882780228505,725.0379144292654,356.0321473120003,211.73624912299044,132.87695653671628,87.14671934408162,55.45988602022912,year,1-105 Zambezi At Chavuma Mission (130400)
27,,63.164657714347534,82.51318840014886,168.3097805635326,750.3261468118158,883.1371457487505,657.4728762335632,703.2245072759757,356.0321473120003,208.1013800932783,131.39469027386198,86.65373388724292,55.257789661172986,year,1-105 Zambezi At Chavuma Mission (130400)
28,,62.09773598193063,82.51318840014886,176.98035009255798,777.935930557867,866.7794902920514,664.7019745105096,679.8742890767553,356.0321473120003,204.4942592270534,129.3318304987465,85.18217345410152,53.652730517184274,year,1-105 Zambezi At Chavuma Mission (130400)
29,,59.98794684086946,84.93799305718468,181.04671965167967,824.4829457167485,,687.8234359662499,659.8787070785011,349.1808153225819,200.9149444175067,127.86716766510335,83.2373814902116,52.85802366244255,year,1-105 Zambezi At Chavuma Mission (130400)
30,,58.945112513383386,87.64093606637394,189.30122903511696,824.4829457167485,,701.3684511163565,636.5871581611517,342.3881815722214,197.36349425251115,125.82899273000619,81.79178375804592,52.265423557021855,year,1-105 Zambezi At Chavuma Mission (130400)
31,,59.778735782874875,,200.55854451920294,837.1408689384565,,721.2776400896654,,336.996429715064,,124.09347516810934,81.31239790907358,,year,1-105 Zambezi At Chavuma Mission (130400)
1,,52.265423557021855,45.20004899268316,65.75786451662806,113.90410616092713,275.66895593075213,1619.8071015076857,1592.199264893993,1169.925298799857,411.4721644283784,221.3163613471535,127.86716766510335,79.64432980888932,year,1-105 Zambezi At Chavuma Mission (130400)
2,,52.265423557021855,44.8310468150843,66.41333706220134,113.07237875505604,282.6748690289075,1701.140429782299,1611.7703940289027,1129.9516763393754,398.84742389544664,219.089003484697,125.82899273000619,79.40727803352199,year,1-105 Zambezi At Chavuma Mission (130400)
3,,52.0685443082611,43.36837907233343,65.75786451662806,120.65433056000941,290.1771633559486,1736.9288416230124,1609.986850103468,1087.5890957954166,388.7772081215806,214.664084554603,123.51732938782217,77.75663675804199,year,1-105 Zambezi At Chavuma Mission (130400)
4,,51.871992364380986,44.28004292781976,65.32247423101118,122.65532553529228,306.2987876638796,1746.1581810415944,1589.5386356389706,1047.4161177972032,375.5270023749573,209.55200114456468,122.3685818645449,76.8202753301173,year,1-105 Zambezi At Chavuma Mission (130400)
5,,51.284301839729245,43.36837907233343,65.54001014881334,125.24930749108839,345.0981825178446,1720.3703393285043,1539.3595036362817,1007.1852418097963,365.25833055019143,207.37773422425406,119.23393002757453,76.35396903729183,year,1-105 Zambezi At Chavuma Mission (130400)
6,,50.50530573870847,43.732042230387094,68.39691047176713,132.2831713181024,338.78949206956537,1665.680569335528,1508.03318164136,970.5016970221975,356.4909864900959,202.3433298806379,117.25782576400235,76.1212848925486,year,1-105 Zambezi At Chavuma Mission (130400)
7,,49.538952921530964,44.8310468150843,71.30735648015806,135.56347078020372,351.4580773686713,1602.8613728352564,1489.0290814548903,932.3151154844572,351.4580773686713,199.49101728955225,115.29628029714513,74.96255874385268,year,1-105 Zambezi At Chavuma Mission (130400)
8,,49.154715506619624,44.46337742169839,75.1936776490121,141.92389572570684,415.39152200602706,1555.1289465505752,1471.8447981875609,906.540716579783,351.4580773686713,195.95072954550375,113.34932293186951,73.35350784891703,year,1-105 Zambezi At Chavuma Mission (130400)
9,,48.580831463629586,45.38504946853407,77.52207807803447,141.92389572570684,449.87289675149015,1504.5699971757974,1462.430905323261,870.1762260629298,347.8175883362917,191.39014653309937,111.41698331217282,71.98657381761967,year,1-105 Zambezi At Chavuma Mission (130400)
10,,48.1998919498112,48.580831463629586,77.52207807803447,142.8429996903449,469.3779635559122,1441.134698511447,1457.307270192904,842.4959161279728,340.1370381063721,188.95405796808674,109.22653294342368,71.30735648015806,year,1-105 Zambezi At Chavuma Mission (130400)
11,,47.44197813822207,52.46262996346062,80.1193666603084,156.94188011800767,474.5713927719575,1395.6051613524419,1489.8906010164117,842.4959161279728,335.2075591560074,185.49779552116763,108.13849630753806,70.40614762954553,year,1-105 Zambezi At Chavuma Mission (130400)
12,,47.44197813822207,52.85802366244255,82.27241021471552,167.32168790453997,486.6116749897688,1364.7811832891102,1504.5699971757974,783.7702721604742,326.7677502223889,182.06966415851858,107.0552596568901,69.9574371837721,year,1-105 Zambezi At Chavuma Mission (130400)
13,,47.06500633899536,54.85457206628558,84.45055864812625,170.62528764346567,505.1882376380846,1453.043624928074,1525.4016770117225,759.2671272106401,319.29679705242137,179.00844974621003,106.24598562483115,69.06380906557546,year,1-105 Zambezi At Chavuma Mission (130400)
14,,45.942046501375295,55.66230723172756,84.69412141991415,173.28862774353763,513.2433178533344,1522.790819489924,1556.885475093166,731.954104810508,313.20145620705426,174.62710634428933,105.17116284057458,67.51214860643798,year,1-105 Zambezi At Chavuma Mission (130400)
15,,45.20004899268316,55.66230723172756,85.67146010455986,180.02631427718248,526.7929872269655,1578.9157212596356,1592.199264893993,705.0827233857865,307.58787621953155,172.621089797327,103.56796036783037,66.41333706220134,year,1-105 Zambezi At Chavuma Mission (130400)
16,,45.20004899268316,55.05601829594585,86.16198052871152,189.648680732611,546.5771348674953,1650.3267373730348,1609.986850103468,684.7612561288842,300.7403112775782,169.30043452914882,102.24025001566413,65.75786451662806,year,1-105 Zambezi At Chavuma Mission (130400)
17,,44.46337742169839,54.65345111428227,86.40770314351009,194.89409032557154,582.5394773151068,1722.2067228536794,1629.653643141139,661.6856194279256,293.11807333164114,166.3361583503637,98.04237266054173,65.32247423101118,year,1-105 Zambezi At Chavuma Mission (130400)
18,,43.36837907233343,54.45265558238091,89.88012605566769,200.9149444175067,607.2667862785405,1773.9753479600342,1650.3267373730348,641.9294028101394,288.08451346108757,164.04656717555002,96.23021207129278,63.80865004535395,year,1-105 Zambezi At Chavuma Mission (130400)
19,,42.82539362351496,54.45265558238091,91.63889650302134,206.29434753751028,623.6111929120401,1828.303394878964,1672.9275614931762,624.1984554162498,281.8466264875917,160.15410925232487,95.20138200706018,62.09773598193063,year,1-105 Zambezi At Chavuma Mission (130400)
20,,41.927120507022664,55.86505315463168,89.63009906438911,206.6551987405365,659.8787070785011,1856.686965248338,1680.1884058445248,606.106648304344,275.66895593075213,158.86577838102866,93.4126598940682,61.03882687625313,year,1-105 Zambezi At Chavuma Mission (130400)
21,,41.57016113397172,56.068123648252154,89.63009906438911,208.46361927819302,708.8056327400077,1889.0875732682887,1674.7414742174612,582.5394773151068,270.7702822631695,154.7103904260026,93.4126598940682,60.82800801397034,year,1-105 Zambezi At Chavuma Mission (130400)
22,,42.10610407837419,57.08833977715328,89.38037886023213,211.73624912299044,822.4920933535757,1887.1748236914807,1653.9337696974997,564.9942052094319,265.5070863168658,152.17736564065683,92.39724694845589,59.778735782874875,year,1-105 Zambezi At Chavuma Mission (130400)
23,,41.927120507022664,57.08833977715328,88.13638322446145,217.24045550213305,1081.595549316301,1891.9582975620594,1623.3846212570743,551.573307388899,259.4907782240634,148.72456301645295,90.38109999239495,59.778735782874875,year,1-105 Zambezi At Chavuma Mission (130400)
24,,41.748472801893136,58.11664926801454,91.13485926095802,219.45954065741248,1239.7575353371565,1777.6989269169278,1568.3241899262557,531.708898796587,254.32582908727423,147.4776579016922,89.13096554523686,58.5302353450752,year,1-105 Zambezi At Chavuma Mission (130400)
25,,43.36837907233343,58.32328085202789,91.3867248428862,228.43502469341843,1288.6470517091398,1715.7831558603636,1513.2345320660088,514.8610649833469,249.99124532649955,144.99772948409515,88.88185922163706,58.32328085202789,year,1-105 Zambezi At Chavuma Mission (130400)
26,,42.82539362351496,57.08833977715328,98.04237266054173,229.19012685043273,1335.0816681018912,1704.7959292828834,1448.785482328113,498.78461085874017,245.68951084192162,142.2299733804411,87.39367384897439,57.70435537394695,year,1-105 Zambezi At Chavuma Mission (130400)
27,,45.01538138737616,59.778735782874875,115.5756086161832,233.3627901278934,1409.0282712543926,1636.8312663572353,1393.0946295631838,476.1343275198156,241.0342540141822,139.18227529643528,85.91656614745726,57.70435537394695,year,1-105 Zambezi At Chavuma Mission (130400)
28,,44.46337742169839,57.08833977715328,110.31936384019771,250.38394200356024,1517.575014608636,1608.2041759064862,1329.340200793525,465.7575457462574,235.65275242324765,135.86343351511306,85.67146010455986,60.40733430617622,year,1-105 Zambezi At Chavuma Mission (130400)
29,,43.36837907233343,57.4986933381484,108.95407409955091,275.66895593075213,,1589.5386356389706,1272.5259714834801,452.41851059197484,231.4620149640357,135.26380006977288,84.45055864812625,59.778735782874875,year,1-105 Zambezi At Chavuma Mission (130400)
30,,42.64506828729389,70.40614762954553,107.32561850641854,281.8466264875917,,1575.3817225686055,1223.1196547592353,437.2398329972956,226.55207250610192,132.87695653671628,83.47939833977773,59.361279686425526,year,1-105 Zambezi At Chavuma Mission (130400)
31,,44.8310468150843,,110.04570696563805,274.4406617640564,,1579.799765813146,,423.7744355750402,,129.62564438524015,81.31239790907358,,year,1-105 Zambezi At Chavuma Mission (130400)
1,,59.361279686425526,66.6324639735314,169.6312213871707,802.7002705141725,2834.9593000671257,1964.34937947906,1679.2800430033078,1002.1147763504246,442.77885652426556,285.9985368246671,187.22241424186913,122.94236473428387,year,1-105 Zambezi At Chavuma Mission (130400)
2,,60.197479726545716,64.8883582506102,173.28862774353763,901.7003036088746,3089.129703244047,1900.5819866878867,1663.8709865411327,967.6499265532161,438.7474299578297,282.6748690289075,184.12316375715753,121.22456411511499,year,1-105 Zambezi At Chavuma Mission (130400)
3,,60.197479726545716,63.80865004535395,177.31765984875273,961.2469605324051,3251.3287360080208,1833.9647006801918,1748.931182577476,946.3795659121619,432.23102379159263,276.89966511770865,182.41120961761314,119.23393002757453,year,1-105 Zambezi At Chavuma Mission (130400)
4,,59.153034917016775,63.164657714347534,179.34745550135426,1018.0884555521259,3349.167755879438,1770.2552079272634,1823.5915293610676,926.7153169483452,418.34177374508715,274.0317672684527,180.3661671707054,118.10294657835001,year,1-105 Zambezi At Chavuma Mission (130400)
5,,61.03882687625313,62.736928550610415,182.06966415851858,1064.4454151621785,3519.6764558881614,1700.2270948963098,1947.835861261341,898.939478590502,411.4721644283784,269.55166107478146,177.99312777653336,115.5756086161832,year,1-105 Zambezi At Chavuma Mission (130400)
6,,62.736928550610415,62.736928550610415,184.4663995147381,1180.0142315014507,3702.9044586367377,1654.8360696520626,2043.8731483989386,868.1374824933105,407.08245875265845,266.31384650892494,173.95730009940294,115.29628029714513,year,1-105 Zambezi At Chavuma Mission (130400)
7,,64.67177844130924,61.461427955230214,197.36349425251115,1335.9027672043549,3837.7762367353207,1611.7703940289027,2035.9571327329634,843.8370271797418,395.9586493384822,261.4894655544143,173.28862774353763,113.62656542944436,year,1-105 Zambezi At Chavuma Mission (130400)
8,,67.51214860643798,64.8883582506102,203.77616991589727,1364.7811832891102,3891.5300872800317,1644.0227778292417,1960.4583227325531,820.5033609814697,389.7313880824428,258.2948087535007,170.62528764346567,112.24333701988219,year,1-105 Zambezi At Chavuma Mission (130400)
9,,69.50999067343359,66.41333706220134,202.3433298806379,1409.8690940701533,3928.4291333930737,1645.8228248865282,1851.9430001335397,798.1127487714684,388.7772081215806,254.32582908727423,168.3097805635326,111.1421298247498,year,1-105 Zambezi At Chavuma Mission (130400)
10,,70.63097652716672,69.73355587633175,203.41754249605805,1560.401151697688,3942.9671316586496,1609.986850103468,1792.627614816604,778.5832425551243,379.2921219597713,250.38394200356024,166.0082183896562,110.31936384019771,year,1-105 Zambezi At Chavuma Mission (130400)
11,,70.40614762954553,71.53344715303632,203.77616991589727,1635.0355582453365,3917.870901202527,1762.8252480777087,1730.481123929924,756.0685657635933,374.58830799188837,245.68951084192162,163.72062402693197,108.13849630753806,year,1-105 Zambezi At Chavuma Mission (130400)
12,,70.18163447500564,72.21360957221866,204.85372100175798,1763.7532403702949,3952.2308968785364,1961.430768369732,1663.8709865411327,732.5842829920788,364.7945536630425,244.91091186339386,161.44702059637703,106.78520116646347,year,1-105 Zambezi At Chavuma Mission (130400)
13,,70.63097652716672,74.04121819524732,217.60961319550336,1832.0767422765089,4022.6812662778616,2140.929232413157,1615.3400906061315,715.0296604737067,360.1710650952649,242.19439075667,159.83159694325636,104.63555705623754,year,1-105 Zambezi At Chavuma Mission (130400)
14,,70.18163447500564,75.1936776490121,216.8715738719634,1727.7210496186888,4065.4825427782603,2264.7699224106686,1577.148285980417,696.4295329596846,352.82756305956593,240.6480870259479,158.544411878551,104.1011559868289,year,1-105 Zambezi At Chavuma Mission (130400)
15,,69.73355587633175,86.65373388724292,217.24045550213305,1737.850806156122,4064.141983680878,2304.2936826183764,1541.1081679701554,672.5727581236051,351.4580773686713,235.27040823374824,156.30287572831085,102.24025001566413,year,1-105 Zambezi At Chavuma Mission (130400)
16,,70.85612104790349,86.40770314351009,221.6885520628701,1736.9288416230124,3958.8537329907754,2291.779965498742,1506.3011510801402,655.0709162143987,351.4580773686713,231.08268167096142,153.7583482260114,101.44724719567844,year,1-105 Zambezi At Chavuma Mission (130400)
17,,69.2867416960893,91.3867248428862,225.42559698766237,1592.199264893993,3865.267561665992,2295.9478699688966,1464.140543365167,637.7726243142492,350.5463902326334,229.19012685043273,152.17736564065683,100.13162291591192,year,1-105 Zambezi At Chavuma Mission (130400)
18,,68.61889333147248,98.30246761132098,233.74376652662113,1523.6608864704067,3727.3857800778333,2267.8792672203404,1425.8866805789423,617.1673794938016,344.6458623392022,228.43502469341843,149.66277468600236,98.82356770231694,year,1-105 Zambezi At Chavuma Mission (130400)
19,,71.30735648015806,102.77042877403403,252.35149582943566,1489.0290814548903,3580.297318478937,2266.842610203838,1386.4096127356845,601.4758699893101,341.0367106879968,224.301595109439,147.16665420917317,97.52309342759507,year,1-105 Zambezi At Chavuma Mission (130400)
20,,70.40614762954553,108.13849630753806,261.4894655544143,1556.0071016629968,3430.845152406472,2268.916132968287,1354.0231663523723,584.8205824031571,337.892437083767,221.6885520628701,145.30670738411825,96.48818033042663,year,1-105 Zambezi At Chavuma Mission (130400)
21,,69.73355587633175,116.69589733527144,280.60627000024596,1452.1915561333394,3263.4887208726695,2224.519531121985,1319.5230482046632,559.9447189527316,330.30980081578707,219.83035355911395,142.2299733804411,95.71518824998648,year,1-105 Zambezi At Chavuma Mission (130400)
22,,70.18163447500564,121.22456411511499,281.43290663499585,1419.1327209500905,3105.780326663222,2183.567640726388,1285.4156864450567,554.9152074109126,325.00303440837416,214.664084554603,141.31261178951527,95.4581328824546,year,1-105 Zambezi At Chavuma Mission (130400)
23,,67.29175114858315,125.24930749108839,289.75809979292615,1414.9186693019515,2892.405217496164,2117.736673931911,1248.5121044596792,541.0493277172733,319.29679705242137,208.82613588666652,140.3978654402235,94.68879412392424,year,1-105 Zambezi At Chavuma Mission (130400)
24,,68.17524444666161,126.99189811857637,306.72821892130486,1401.4708089776768,2630.1564233984755,2023.1224706373987,1212.082769301683,527.883673993243,317.5499923672298,208.82613588666652,138.87910534404563,91.13485926095802,year,1-105 Zambezi At Chavuma Mission (130400)
25,,68.61889333147248,129.3318304987465,328.9795610812113,1392.2582280417953,2474.0023959719406,1929.45227148329,1176.9058812694686,513.2433178533344,309.7416536414808,207.01632765538065,136.46423475078623,89.88012605566769,year,1-105 Zambezi At Chavuma Mission (130400)
26,,67.0716711411156,130.8038350154251,360.63224497151475,1439.4369474817631,2293.8635008374226,1839.6337134494668,1145.2537083909071,500.91515543196704,308.0181021719647,200.20242332573383,134.66533503062104,89.13096554523686,year,1-105 Zambezi At Chavuma Mission (130400)
27,,66.19452809883384,136.16368819757662,365.25833055019143,1501.1103198185067,2145.985809799416,1792.627614816604,1113.982184679248,491.3592213410225,302.8728808540019,199.49101728955225,132.87695653671628,89.88012605566769,year,1-105 Zambezi At Chavuma Mission (130400)
28,,66.19452809883384,143.45718683831052,423.7744355750402,1611.7703940289027,2059.7457498111216,1724.0439691501822,1086.089341762769,479.2669842936124,300.3145938807682,199.13573256514525,131.6905576129689,89.88012605566769,year,1-105 Zambezi At Chavuma Mission (130400)
29,,66.19452809883384,156.30287572831085,464.72540883042086,1757.261811775992,,1658.4474365414223,1055.545473662191,469.8961737338574,294.3824599309495,194.89409032557154,129.03831027932898,88.63305999186002,year,1-105 Zambezi At Chavuma Mission (130400)
30,,66.6324639735314,164.37279578534978,553.2431461003188,2142.951232941713,,1646.7231737157208,1026.116987918546,462.1494795976669,291.01609053628937,193.13861892771124,127.57511697665635,86.16198052871152,year,1-105 Zambezi At Chavuma Mission (130400)
31,,65.75786451662806,,643.7145191072428,2410.804445049369,,1610.8785133573044,,452.41851059197484,,190.6927189949426,125.82899273000619,,year,1-105 Zambezi At Chavuma Mission (130400)
1,,87.39367384897439,77.05389725134314,117.82094266385954,277.72147895372916,904.4648564223486,1205.7957671100316,1679.2800430033078,964.0904119096313,439.2504700762788,234.50654026396396,144.99772948409515,90.38109999239495,year,1-105 Zambezi At Chavuma Mission (130400)
2,,86.16198052871152,80.1193666603084,120.93929932507997,279.3683234285881,894.117008915934,1201.873704455764,1649.4255212358764,946.3795659121619,430.2346193697879,229.56808941616148,141.92389572570684,89.38037886023213,year,1-105 Zambezi At Chavuma Mission (130400)
3,,86.65373388724292,81.31239790907358,122.94236473428387,290.5964936190364,883.8216363698558,1194.0464670069953,1641.3243339582602,931.61432823259,419.32723394417883,226.55207250610192,139.18227529643528,86.9000726555025,year,1-105 Zambezi At Chavuma Mission (130400)
4,,86.40770314351009,81.551935703332,123.80525467810668,300.7403112775782,870.1762260629298,1219.1728523531058,1632.3436238557454,898.2498549635326,403.68258643663074,221.3163613471535,134.66533503062104,84.69412141991415,year,1-105 Zambezi At Chavuma Mission (130400)
5,,86.40770314351009,81.79178375804592,128.15951241956725,334.3146966306844,864.0663151041684,1217.5957045828745,1607.3131649920545,892.0537340984494,394.5177310618898,218.34875654845823,134.66533503062104,84.20730484786353,year,1-105 Zambezi At Chavuma Mission (130400)
6,,87.39367384897439,81.79178375804592,127.86716766510335,342.3881815722214,857.9753722565226,1208.1517055004322,1578.9157212596356,870.1762260629298,390.2088643110944,216.8715738719634,133.47191264358213,83.7217245871257,year,1-105 Zambezi At Chavuma Mission (130400)
7,,87.64093606637394,84.45055864812625,128.7450838065299,360.63224497151475,850.556669062114,1216.0194559876443,1558.6428768480077,855.9492758730966,374.58830799188837,213.56407129381296,132.2831713181024,81.551935703332,year,1-105 Zambezi At Chavuma Mission (130400)
8,,86.16198052871152,84.45055864812625,133.17428826812036,374.58830799188837,851.9034135205924,1239.7575353371565,1540.233726511697,853.2510962597286,365.25833055019143,208.82613588666652,129.91975185939128,81.07317048407207,year,1-105 Zambezi At Chavuma Mission (130400)
9,,89.13096554523686,86.16198052871152,154.3927554701807,385.44569342642154,850.556669062114,1279.7693967017049,1541.1081679701554,805.3269092846575,357.4094455171303,207.7394183894373,128.7450838065299,80.35735151589827,year,1-105 Zambezi At Chavuma Mission (130400)
10,,91.13485926095802,87.39367384897439,179.34745550135426,395.9586493384822,849.8836487434129,1323.6096337017389,1504.5699971757974,791.5792423273629,355.11524982641765,199.49101728955225,126.99189811857637,79.40727803352199,year,1-105 Zambezi At Chavuma Mission (130400)
11,,91.63889650302134,87.64093606637394,179.34745550135426,402.22934370503185,851.2299239952154,1385.5749815028137,1465.851061035374,772.1207959644674,350.0909377830036,194.89409032557154,124.09347516810934,77.05389725134314,year,1-105 Zambezi At Chavuma Mission (130400)
12,,91.13485926095802,87.88850589267255,180.02631427718248,423.7744355750402,860.003577985059,1454.7484228219057,1454.7484228219057,753.5139992153354,342.3881815722214,193.83996802998345,122.94236473428387,74.96255874385268,year,1-105 Zambezi At Chavuma Mission (130400)
13,,91.8913741408482,87.88850589267255,181.04671965167967,468.86000522004105,876.9872432016126,1620.701155568899,1465.851061035374,735.1073837461536,336.996429715064,191.39014653309937,121.22456411511499,74.50126122435852,year,1-105 Zambezi At Chavuma Mission (130400)
14,,93.15834849043893,89.38037886023213,187.5681812339211,490.30245691114317,896.1823827300216,1764.6814477437308,1471.8447981875609,720.0261292096227,328.9795610812113,190.3444257737413,118.95073916523809,73.58243058305622,year,1-105 Zambezi At Chavuma Mission (130400)
15,,91.3867248428862,91.13485926095802,198.426,495.06578502876454,911.3925386418099,1831.1330842311709,1468.4184865760064,698.2798259218382,321.04782057604973,186.5317233198323,116.69589733527144,72.44096011737486,year,1-105 Zambezi At Chavuma Mission (130400)
