Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
28,,49,97,257,572,746,659,529,246,135,84,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
29,,51,99,270,577,732,665,513,244,131,81,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
30,,51,103,284,583,         ,676,497,238,128,81,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
31,,51,         ,295,588,         ,677,         ,234,         ,79,-,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,28,36,61,128,348,1181,3180,1296,394,-,-,63,year,1-105 Zambezi At Chavuma Mission (130400)
2,,28,36,63,132,368,1253,3220,1088,386,-,-,61,year,1-105 Zambezi At Chavuma Mission (130400)
3,,28,38,63,134,393,1278,3231,1036,362,-,-,61,year,1-105 Zambezi At Chavuma Mission (130400)
4,,28,39,65,137,413,1272,3267,995,348,-,-,60,year,1-105 Zambezi At Chavuma Mission (130400)
5,,27,41,67,140,443,1262,3303,959,335,-,-,58,year,1-105 Zambezi At Chavuma Mission (130400)
6,,27,42,68,141,473,1292,3340,926,321,-,-,57,year,1-105 Zambezi At Chavuma Mission (130400)
7,,26,42,68,141,491,1354,3387,896,308,-,-,57,year,1-105 Zambezi At Chavuma Mission (130400)
8,,25,42,68,140,499,1441,3436,860,299,-,-,57,year,1-105 Zambezi At Chavuma Mission (130400)
9,,24,42,66,143,521,1485,3413,825,-,-,-,56,year,1-105 Zambezi At Chavuma Mission (130400)
10,,24,42,65,146,541,1497,3308,803,-,-,-,55,year,1-105 Zambezi At Chavuma Mission (130400)
11,,24,42,67,150,566,1533,3115,776,-,-,98,54,year,1-105 Zambezi At Chavuma Mission (130400)
12,,24,43,70,151,597,1572,3001,747,-,-,96,53,year,1-105 Zambezi At Chavuma Mission (130400)
13,,24,43,78,152,638,1589,2943,728,-,-,93,52,year,1-105 Zambezi At Chavuma Mission (130400)
14,,24,43,84,155,691,1579,2832,709,-,-,91,50,year,1-105 Zambezi At Chavuma Mission (130400)
15,,24,44,86,157,767,1559,2685,691,-,-,89,49,year,1-105 Zambezi At Chavuma Mission (130400)
16,,24,43,88,160,821,1548,2504,671,-,-,88,49,year,1-105 Zambezi At Chavuma Mission (130400)
17,,24,42,89,165,879,1587,2322,650,-,-,86,49,year,1-105 Zambezi At Chavuma Mission (130400)
18,,24,42,91,172,936,1643,2175,634,-,-,86,49,year,1-105 Zambezi At Chavuma Mission (130400)
19,,24,42,93,177,985,1643,1994,611,-,-,85,49,year,1-105 Zambezi At Chavuma Mission (130400)
20,,24,41,100,183,1021,1632,1813,588,-,-,84,48,year,1-105 Zambezi At Chavuma Mission (130400)
21,,24,40,104,192,1077,1614,1888,566,-,-,84,47,year,1-105 Zambezi At Chavuma Mission (130400)
22,,25,40,104,204,1070,1622,1791,546,-,-,83,47,year,1-105 Zambezi At Chavuma Mission (130400)
23,,26,41,104,211,1073,1702,1705,532,-,-,81,45,year,1-105 Zambezi At Chavuma Mission (130400)
24,,28,42,104,226,1069,1804,1612,512,-,-,78,45,year,1-105 Zambezi At Chavuma Mission (130400)
25,,29,45,107,245,1063,1890,1520,496,-,-,76,45,year,1-105 Zambezi At Chavuma Mission (130400)
26,,30,51,107,255,1073,1979,1433,480,-,-,74,43,year,1-105 Zambezi At Chavuma Mission (130400)
27,,32,55,110,277,1084,2084,1342,464,-,-,71,43,year,1-105 Zambezi At Chavuma Mission (130400)
28,,33,57,112,288,1096,2222,1291,449,-,-,69,43,year,1-105 Zambezi At Chavuma Mission (130400)
29,,34,57,116,300,         ,2445,1256,434,-,-,67,44,year,1-105 Zambezi At Chavuma Mission (130400)
30,,35,59,121,310,         ,2755,-,419,-,-,65,45,year,1-105 Zambezi At Chavuma Mission (130400)
31,,35,         ,125,337,         ,3019,         ,404,         ,-,63,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,45,40,104,183,768,1243,-,297,166,104,74,53,year,1-105 Zambezi At Chavuma Mission (130400)
2,,43,40,104,187,758,1276,-,293,163,104,73,53,year,1-105 Zambezi At Chavuma Mission (130400)
3,,43,38,104,190,758,1361,-,289,160,104,74,52,year,1-105 Zambezi At Chavuma Mission (130400)
4,,43,38,104,196,758,1525,-,285,158,103,74,51,year,1-105 Zambezi At Chavuma Mission (130400)
